id	uniprot	gene_name	description	p_value	fdr	log_fc	sub_local	ubi_part	in_mito
P58742	P58742	AAAS	Aladin OS=Mus musculus GN=Aaas PE=1 SV=1	0.022214670929465136	0.06395731318783986	-0.22848066951913787	NA	NA	FALSE
Q9D2R0	Q9D2R0	AACS	Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=1 SV=1	1.996422103656074e-4	0.0030606912397962605	0.3115822345895145	NA	NA	FALSE
Q8R2R3	Q8R2R3	AAGAB	Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus GN=Aagab PE=1 SV=2	0.04673632205804537	0.10920272486853709	0.1470333273272172	NA	NA	FALSE
Q3UHJ0	Q3UHJ0	AAK1	AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2	0.015980577322966646	0.051313404083755836	-0.11351332717162904	NA	NA	FALSE
Q8R0P4	Q8R0P4	AAMDC	Mth938 domain-containing protein OS=Mus musculus GN=Aamdc PE=1 SV=1	0.01411475888173259	0.0472886003241764	0.24770062778478746	NA	NA	FALSE
Q8BGQ7	Q8BGQ7	AARS	Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1	0.012337148582054633	0.04332895248778873	0.19679627419042703	NA	NA	FALSE
Q14CH7	Q14CH7	AARS2	Alanine--tRNA ligase, mitochondrial OS=Mus musculus GN=Aars2 PE=1 SV=1	0.07143904822946676	0.14757306693372343	-0.09957575960014922	Matrix	NA	TRUE
Q3THG9	Q3THG9	AARSD1	Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus GN=Aarsd1 PE=1 SV=2	0.1565689069793289	0.2638412327928624	0.1241621754753627	NA	NA	FALSE
Q9CQF6	Q9CQF6	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Mus musculus GN=Aasdhppt PE=1 SV=1	0.011451385794538155	0.04126060953043558	0.15001217442161263	NA	NA	FALSE
Q80YE4	Q80YE4	AATK	Serine/threonine-protein kinase LMTK1 OS=Mus musculus GN=Aatk PE=1 SV=1	2.6493484068080167e-5	9.901458910552114e-4	-0.3732137388578321	NA	NA	FALSE
P61922	P61922	ABAT	4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus GN=Abat PE=1 SV=1	0.8112176499396895	0.8721015193920705	0.025162103571061162	Matrix	NA	TRUE
P41233	P41233	ABCA1	ATP-binding cassette sub-family A member 1 OS=Mus musculus GN=Abca1 PE=1 SV=4	0.3371879040108088	0.464152803606428	-0.0923464350427335	NA	NA	FALSE
P41234	P41234	ABCA2	ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=4	0.002271784273503221	0.014281417719359446	-0.25286414134145196	NA	NA	FALSE
Q8R420	Q8R420	ABCA3	ATP-binding cassette sub-family A member 3 OS=Mus musculus GN=Abca3 PE=1 SV=3	0.2505858824644182	0.3743526856496145	-0.08698111099171238	NA	NA	FALSE
Q8K448	Q8K448	ABCA5	ATP-binding cassette sub-family A member 5 OS=Mus musculus GN=Abca5 PE=1 SV=2	0.9479079481722694	0.9685011786699681	-0.003691892828700997	NA	NA	FALSE
Q8K441	Q8K441	ABCA6	ATP-binding cassette sub-family A member 6 OS=Mus musculus GN=Abca6 PE=1 SV=2	0.011425650147356388	0.04121536428587901	-0.15622347282610577	NA	NA	FALSE
Q8K440	Q8K440	ABCA8B	ATP-binding cassette sub-family A member 8-B OS=Mus musculus GN=Abca8b PE=1 SV=2	0.04820374405571456	0.11179622509028347	-0.13992155464648776	NA	NA	FALSE
